id,source,target_dimension,target_direction,openness,conscientiousness,extraversion,agreeableness,neuroticism,text
ipip-01,ipip,openness,high,80,,,,,"Me la paso encontrando conexiones entre cosas que a primera vista no tienen nada que ver: una película que vi, una idea que leí en un paper, un recuerdo de la infancia, todo me funciona como materia prima. Disfruto genuinamente de leer sobre temas que no son ni remotamente mi área, desde historia antigua hasta teoría de sistemas, solo porque me da curiosidad cómo piensa la gente en otros lugares del conocimiento. Cuando alguien me propone algo nuevo —un restaurante raro, un viaje improvisado, una forma distinta de encarar un problema— tiendo a decir que sí antes de evaluar si me conviene."
ipip-02,ipip,openness,low,20,,,,,"Me siento cómodo con las rutinas que tengo armadas y no me gusta particularmente experimentar con cosas nuevas solo porque sí. Cuando alguien me recomienda un libro o una película que se sale de lo que suelo consumir, muchas veces pienso que preferiría releer o ver de nuevo algo que ya sé que me funciona. No me interesa mucho lo abstracto o lo especulativo. Si no puedo imaginar cómo se aplica a algo concreto, siento que es discusión de café."
ipip-03,ipip,openness,high,80,,,,,"Cuando miro una obra de arte o escucho una canción que me pega, me quedo pensando en ella durante días, reconstruyéndola mentalmente. Tengo varios cuadernos a medio llenar con ideas sueltas que probablemente nunca convierta en nada pero que me gusta anotar por las dudas. Me emociono con detalles que a otros les parecen chicos: un giro de cámara, una metáfora bien puesta, el ritmo interno de un párrafo."
ipip-04,ipip,openness,low,20,,,,,"Soy bastante práctico: cuando algo me funciona, no me gusta ponerme a cuestionar por qué funciona o a buscarle vueltas filosóficas. Las discusiones sobre arte, poesía o teoría social me aburren rápido. Prefiero charlas concretas sobre cosas que se pueden arreglar o hacer. Si no le veo una utilidad clara a una idea, tiendo a descartarla sin mucho remordimiento."
ipip-05,ipip,conscientiousness,high,,80,,,,"Antes de empezar una tarea nueva armo un plan mental o escrito, con pasos y plazos aproximados. Trabajar sin estructura me pone incómodo. Cumplo lo que me comprometo, incluso cuando me arrepiento de haber dicho que sí. Me cuesta bastante cancelar o llegar tarde. Mi espacio de trabajo tiende a estar ordenado. No es que sea maniático, pero encontrar las cosas cuando las necesito me importa."
ipip-06,ipip,conscientiousness,low,,20,,,,"Tiendo a dejar las cosas para último momento y después me apuro. Sé que no es lo ideal pero una parte mía necesita la presión para arrancar. Los plazos más largos los pierdo de vista y después me encuentro corriendo. En cambio cuando algo es urgente, me pongo las pilas. Mi escritorio es un caos ordenado: yo sé dónde está cada cosa, aunque el resto piense que no."
ipip-07,ipip,conscientiousness,high,,80,,,,"Me gusta revisar mi trabajo dos o tres veces antes de entregarlo. Prefiero perder media hora al final que mandar algo con un error evitable. Hago listas de cosas por hacer y siento satisfacción cuando las tacho. No por performance, sino porque me ayuda a no tener nada flotando. Cuando me comprometo con una meta, la persigo hasta terminarla aunque se ponga aburrida o difícil. El abandono me incomoda internamente."
ipip-08,ipip,conscientiousness,low,,20,,,,"Arranco varios proyectos con mucho entusiasmo y después, cuando empiezan las partes aburridas, me aburro y paso al siguiente. Mi cuarto suele estar medio desordenado. No me molesta, y cuando me molesta lo ordeno una vez y a la semana vuelve al mismo estado. No soy bueno con los detalles: si algo está funcionando ""más o menos"", me cuesta dedicarle más tiempo a pulirlo."
ipip-09,ipip,extraversion,high,,,80,,,"Me cargo de energía cuando estoy con otros. Una sobremesa larga con amigos me deja mejor que cualquier siesta. Si paso varios días sin ver gente, me pongo un poco inquieto y empiezo a buscar planes con quien sea. En reuniones con desconocidos tiendo a ser de los que arranca la charla y la sostiene sin mucho esfuerzo; me resulta natural."
ipip-10,ipip,extraversion,low,,,20,,,"Después de una juntada larga, aunque la pase bien, necesito dos o tres horas solo para sentirme yo otra vez. Prefiero las conversaciones de uno a uno o en grupos chicos. Cuando se llena de gente me callo y escucho, o directamente me voy. No me gusta ser el centro de atención. Cuando alguien me pone en el foco, me pongo tímido y me cuesta pensar con claridad."
