id,source,target,text
jung-01,jung,Se,"Cuando estoy bien, estoy muy metido en lo que pasa acá y ahora. Me doy cuenta enseguida si cambió el clima de un lugar, si una comida está apenas pasada o si alguien se mueve con incomodidad. Me gusta aprender haciendo: salir, tocar, probar, equivocarme con el cuerpo presente. Si me quedo demasiado tiempo en la teoría, me siento desconectado de la realidad. Necesito sentir que piso algo vivo, no solo ideas."
jung-02,jung,Se,"Las mejores decisiones que tomé no salieron de pensarlas seis meses sino de leer el momento con precisión. En situaciones cambiantes reacciono rápido y bastante bien. Confío mucho en lo que veo, escucho y registro corporalmente. No me interesa adornar la experiencia: prefiero una verdad concreta, aunque sea incómoda, antes que una interpretación elegante pero lejana de lo que está pasando."
jung-03,jung,Si,"Guardo recuerdos muy físicos de las cosas: el olor de la casa de mi abuela, la textura de una campera vieja, el cansancio exacto de ciertos días. Cuando algo del presente me pega, enseguida se me enlaza con otra escena antigua y eso me orienta. Los rituales me importan más de lo que admito. Hay costumbres simples que me sostienen porque me recuerdan quién fui y qué cosas no quiero perder."
jung-04,jung,Si,"No suelo confiar ciegamente en lo nuevo hasta ver cómo se siente en mí. Mi cuerpo registra muy bien cuándo algo me hace bien y cuándo no, incluso antes de poder explicarlo. Tengo formas bastante estables de ordenar mis días, y no las vivo como rigidez sino como una manera de cuidar continuidad. Comparo mucho el presente con experiencias pasadas que me dejaron marca."
jung-05,jung,Ne,"Me entusiasma más una posibilidad que una certeza. Escucho una idea y enseguida se me ocurren tres versiones alternativas, conexiones raras o caminos paralelos. A veces me dicen que salto demasiado rápido de un tema a otro, pero para mí todo está conectado si lo mirás desde el ángulo justo. Lo nuevo me da energía porque siento que siempre puede aparecer una salida inesperada."
jung-06,jung,Ne,"Tengo la costumbre de empezar frases con ""y si..."". No porque esté indeciso, sino porque genuinamente veo más de una puerta abierta casi todo el tiempo. Me fascina combinar cosas de mundos distintos y descubrir que juntas producen algo que no estaba a la vista. Mi dificultad no es generar opciones; es elegir una sin sentir que abandono otras muy vivas."
jung-07,jung,Ni,"Muchas veces sé hacia dónde va algo antes de poder justificarlo. No siempre tengo datos suficientes, pero hay una imagen interna que se arma sola y me marca dirección. Pienso bastante en símbolos, patrones y movimientos de fondo. Me interesa menos el hecho aislado que el sentido que parece ordenar varios hechos juntos. A veces me cuesta explicar lo que veo sin sonar demasiado abstracto."
jung-08,jung,Ni,"No suelo compartir una intuición apenas aparece. La dejo madurar hasta que toma forma adentro y recién ahí la digo. Me pasa con frecuencia que una imagen, un sueño o una frase suelta se me queda trabajando durante días, y después entiendo por qué era importante. Necesito una especie de coherencia profunda más que una explicación inmediata."
jung-09,jung,Te,"Cuando entro en un problema, lo primero que busco es ordenar variables. Necesito saber qué objetivo hay, qué recursos existen, qué proceso conviene y qué sobra. Me desespera bastante la ineficiencia que podría evitarse con un sistema claro. No tengo problema en tomar decisiones si siento que la evidencia alcanza. Prefiero ajustar sobre la marcha antes que quedarme en la nebulosa."
jung-10,jung,Te,"En el laburo me sale pensar en términos de estructura: qué depende de qué, quién tiene que resolver cada parte y cómo medir si realmente avanzamos. No me enamora discutir ideas solo por elegancia conceptual; me interesa si sirven, si ordenan, si permiten llegar mejor. Sé que a veces puedo sonar tajante, pero para mí claridad y ejecución van de la mano."
jung-11,jung,Ti,"Tengo una tendencia medio obsesiva a desmontar las cosas hasta entender cómo encajan. Si una explicación tiene agujeros, no me alcanza aunque sea práctica. Me importa mucho la precisión de las categorías y me irrita cuando dos ideas distintas se meten en la misma bolsa por comodidad. Antes de actuar necesito sentir que el mapa interno tiene coherencia."
jung-12,jung,Ti,"Suelo pensar mejor cuando estoy solo y puedo seguir un razonamiento hasta el final sin interrupciones. Me hago muchas preguntas del tipo ""depende de qué"" o ""bajo qué condiciones esto sería cierto"". No busco tanto tener razón frente a otros como construir una explicación que no se contradiga por dentro. A veces demoro decisiones porque sigo afinando el modelo."
jung-13,jung,Fe,"Capto rápido cómo está emocionalmente un grupo, incluso cuando nadie lo dice de frente. Si noto incomodidad, me sale acomodar el tono, incluir a quien quedó desplazado o traducir lo que alguien quiso decir para que no escale mal. Necesito sentir que el vínculo sigue respirando. No es solo quedar bien: me importa de verdad la atmósfera compartida."
jung-14,jung,Fe,"Muchas de mis decisiones sociales pasan por leer qué necesita el momento entre personas. A veces cedo protagonismo, cambio la forma de decir algo o postergó una crítica si percibo que el otro está muy frágil. No me gusta la crueldad innecesaria. Siento alivio cuando todos pueden seguir en diálogo sin quedar humillados."
jung-15,jung,Fi,"Hay cosas que no negocio aunque me cueste explicarlas. No siempre las digo en voz alta, pero siento con bastante nitidez cuándo algo es fiel a mí y cuándo estoy traicionando una línea interna. Mis decisiones importantes suelen pasar por ese filtro silencioso. Desde afuera a veces parece que cambio de rumbo de golpe, pero por dentro vengo sintiendo hace rato que algo dejó de ser verdadero."
jung-16,jung,Fi,"No necesito que todo el mundo entienda lo que siento para saber que es real. De hecho, muchas veces prefiero guardar ciertas cosas hasta poder nombrarlas sin que se deformen. Me conmueven situaciones que tocan algo muy personal, aunque por fuera no siempre se note. Lo importante para mí no es encajar emocionalmente sino ser íntegro con lo que considero valioso."
jung-17,jung,Se+Te,"Cuando un proyecto me importa, me sale combinar visión táctica con ejecución inmediata. Leo rápido qué está pasando, detecto oportunidades concretas y ordeno acciones sin perder tiempo en adornos. Disfruto mucho esos momentos donde el cuerpo y la cabeza van para el mismo lado: ver, decidir, hacer. Me siento útil cuando la estrategia baja enseguida a movimiento real."
jung-18,jung,Ni+Te,"Tengo una forma bastante natural de pensar a mediano plazo. Primero aparece una intuición de hacia dónde conviene ir; después me siento a traducirla en pasos, prioridades y criterios concretos. No me interesa tener una visión linda si no puedo volverla operativa. Cuando esto funciona bien, siento que alineo sentido y estructura."
jung-19,jung,Fi+Ne,"Las ideas que más me mueven son las que me permiten ser honesto conmigo y, al mismo tiempo, abrir algo nuevo. Me entusiasma imaginar formatos distintos para expresar lo que siento sin volverlo cliché. Necesito que la creatividad tenga una raíz íntima, no solo novedad por novedad. Cuando encuentro esa mezcla entre autenticidad y posibilidad, trabajo con una energía muy limpia."
